
hash 734ac30e9
||       cc || AESCE_C || 128_ONLY || GCM || size || AES-CTR-128 || AES-CTR-192 || AES-CTR-256 || AES-GCM-128 || AES-GCM-192 || AES-GCM-256 || CTR_DRBG (NOPR) || CTR_DRBG (PR) ||
|  clang-17  |       0  |        0  |   0  | -128  |         +6%  |         +7%  |         +5%  |              |              |              |             +4%  |           +2%  |
|  clang-17  |       0  |        0  |   1  | -128  |         +7%  |         +8%  |         +7%  |         +1%  |         +2%  |         +1%  |             +5%  |           +3%  |
|  clang-17  |       0  |        1  |   0  |  +32  |         +7%  |              |              |              |              |              |             +9%  |           +8%  |
|  clang-17  |       0  |        1  |   1  |  +32  |         +7%  |              |              |         +3%  |              |              |             +9%  |           +8%  |
|  clang-17  |       1  |        0  |   0  | +175  |       +111%  |       +109%  |       +101%  |              |              |              |             +6%  |          -11%  |
|  clang-17  |       1  |        0  |   1  | +175  |       +117%  |       +108%  |       +101%  |         -1%  |         +4%  |         +5%  |             +2%  |          -12%  |
|  clang-17  |       1  |        1  |   0  | +131  |       +107%  |              |              |              |              |              |            +13%  |           +3%  |
|  clang-17  |       1  |        1  |   1  | +131  |       +112%  |              |              |         +8%  |              |              |            +14%  |           +5%  |
|    gcc-15  |       0  |        0  |   0  | -196  |        +14%  |        +14%  |        +13%  |              |              |              |            +14%  |          +13%  |
|    gcc-15  |       0  |        0  |   1  | -196  |        +14%  |        +14%  |        +13%  |         +3%  |         +3%  |         +3%  |            +14%  |          +12%  |
|    gcc-15  |       0  |        1  |   0  | -120  |        +15%  |              |              |              |              |              |            +20%  |          +17%  |
|    gcc-15  |       0  |        1  |   1  | -120  |        +16%  |              |              |         +5%  |              |              |            +19%  |          +17%  |
|    gcc-15  |       1  |        0  |   0  | -208  |       +236%  |       +205%  |       +166%  |              |              |              |            +28%  |           +8%  |
|    gcc-15  |       1  |        0  |   1  | -208  |       +239%  |       +205%  |       +175%  |        +39%  |        +37%  |        +38%  |            +31%  |           +8%  |
|    gcc-15  |       1  |        1  |   0  | -356  |       +219%  |              |              |              |              |              |            +37%  |          +15%  |
|    gcc-15  |       1  |        1  |   1  | -356  |       +221%  |              |              |        +45%  |              |              |            +41%  |          +16%  |
